hashtag,name,url,price,image
oversized,Women Self Design Sweaters,https://www.getketch.com/product/tokyo-talkies-women-brown-round-neck-cropped-sweater-ttsw000345,Rs. 659,https://getketchadmin.getketch.com/product/8905980434543/300/TTSW000345_1.JPG
oversized,Women Cable Knit Sweater,https://www.getketch.com/product/tokyo-talkies-women-pink-v-neck-cable-knit-sweater-ttsw000211,Rs. 539,https://getketchadmin.getketch.com/product/8905980369463/300/TTSW000211_1.JPG
oversized,Women Solid Sweaters,https://www.getketch.com/product/tokyo-talkies-women-pine-casual-solid-sweater-TTa1000127,Rs. 609,https://getketchadmin.getketch.com/product/8905040427652/300/TTa1000127_1.JPG
oversized,Women Jacqurard Pullover Sweaters,https://www.getketch.com/product/tokyo-talkies-women-orange-round-neck-long-sleeve-sweater-ttsw000016,Rs. 849,https://getketchadmin.getketch.com/product/8905745190370/300/TTSW000016_1.jpg
oversized,Women Solid Sweaters,https://www.getketch.com/product/tokyo-talkies-women-green-turtle-neck-pullover-sweater-ttsw000038,Rs. 689,https://getketchadmin.getketch.com/product/8905745193036/300/TTSW000038_1.jpg
oversized,Women Self Design Sweater,https://www.getketch.com/product/tokyo-talkies-women-beige-turtle-neck-sweater-ttsw000332,Rs. 639,https://getketchadmin.getketch.com/product/8905980421901/300/TTSW000332_1.JPG
oversized,Women Cable Knit Sweaters,https://www.getketch.com/product/tokyo-talkies-women-orange-turtle-neck-cable-knit-longline-sweater-ttsw000407,Rs. 1179,https://getketchadmin.getketch.com/product/8905980447512/300/TTSW000407_1.jpg
oversized,Women Solid Sweater,https://www.getketch.com/product/tokyo-talkies-women-teal-round-neck-sweater-ttsw000182,Rs. 799,https://getketchadmin.getketch.com/product/8905980357668/300/TTSW000182_1.JPG
oversized,Women Striped Sweaters,https://www.getketch.com/product/tokyo-talkies-women-black-striped-turtle-neck-long-sleeve-sweater-tta1000304,Rs. 729,https://getketchadmin.getketch.com/product/8905745180975/300/TTa1000304_1.jpg
oversized,Women Solid Sweaters,https://www.getketch.com/product/tokyo-talkies-women-pink-round-neck-sweater-TTa1000255,Rs. 679,https://getketchadmin.getketch.com/product/8905404303462/300/TTa1000255_0.jpg
oversized,Women Striped Sweaters,https://www.getketch.com/product/tokyo-talkies-women-maroon-striped-turtle-neck-long-sleeve-sweater-tta1000306,Rs. 729,https://getketchadmin.getketch.com/product/8905745181057/300/TTA1000306_1.jpg
oversized,Women Solid Sweater,https://www.getketch.com/product/tokyo-talkies-women-brown-round-neck-sweater-ttsw000146,Rs. 739,https://getketchadmin.getketch.com/product/8905980340554/300/TTSW000146_1.jpg
trending,Women Flared Jeans,https://www.getketch.com/product/tokyo-talkies-women-light-blue-regular-fit-jeans-TTJN003080,Rs. 659,https://getketchadmin.getketch.com/product/8905404708755/300/TTJN003080_1.jpg
trending,Women Flared Jeans,https://www.getketch.com/product/tokyo-talkies-women-light-blue-regular-fit-jeans-TTJN003080,Rs. 659,https://getketchadmin.getketch.com/product/8905404708755/300/TTJN003080_1.jpg
trending,Men Slim Fit Casual Shirt,https://www.getketch.com/product/ketch-men-checked-casual-shirt-KHSH000755,Rs. 389,https://getketchadmin.getketch.com/product/8905404849458/300/KHSH000755_KHSH000755_1.JPG
trending,Solid Maxi Dress,https://www.getketch.com/product/tokyo-talkies-women-black-solid-maxi-dress-ttj6008136,Rs. 309,https://getketchadmin.getketch.com/product/8905745601210/300/TTJ6008136_1.JPG
trending,Printed A-Line Dress,https://www.getketch.com/product/ketch-women-pink-floral-printed-a-line-dress-khj6000092,Rs. 309,https://getketchadmin.getketch.com/product/8905745409557/300/KHJ6000092_1.jpg
trending,Printed Bodycon Dress,https://www.getketch.com/product/tokyo-talkies-women-off-white-printed-back-tie-up-bodycon-dress-ttj6008909,Rs. 739,https://getketchadmin.getketch.com/product/8905745943365/300/TTJ6008909_1.jpg
trending,Men Slim Fit Casual Shirt,https://www.getketch.com/product/locomotive-men-black-printed-casual-shirt-LMSH016011,Rs. 489,https://getketchadmin.getketch.com/product/8905404620408/300/LMSH016011_1.JPG
trending,Printed Fit and Flare Dress,https://www.getketch.com/product/tokyo-talkies-women-beige-mustard-printed-fit-and-flare-dress-ttj6008237,Rs. 579,https://getketchadmin.getketch.com/product/8905745638155/300/TTJ6008237_1.jpg
trending,Men Slim Fit Casual Shirt,https://www.getketch.com/product/ketch-men-checked-casual-shirt-KHSH000640,Rs. 359,https://getketchadmin.getketch.com/product/8905404630742/300/KHSH000640_1.JPG
trending,Women Bootcut Jeans,https://www.getketch.com/product/tokyo-talkies-women-black-flared-jeans-TTJN001883,Rs. 729,https://getketchadmin.getketch.com/product/8905040103242/300/TTJN001883_1.JPG
trending,Printed A-Line Dress,https://www.getketch.com/product/tokyo-talkies-women-aqua-printed-midi-dress-ttj6007881,Rs. 539,https://getketchadmin.getketch.com/product/8905745494508/300/TTJ6007881_1.jpg
trending,Solid Fit & Flare Dress,https://www.getketch.com/product/tokyo-talkies-women-cream-solid-fit-flare-dress-ttj6009497,Rs. 389,https://getketchadmin.getketch.com/product/8905980337479/300/TTJ6009497_1.jpg
